key,authorIndex,name,thenInstitution,thenDepartment
conf/asplos/AbadalCAT16,0,Sergi Abadal,University of Illinois at Urbana-Champaign Univ. Politècnica de Catalunya,
conf/asplos/AbadalCAT16,1,Albert Cabellos-Aparicio,Univ. Politècnica de Catalunya,
conf/asplos/AbadalCAT16,2,Eduard Alarcón,Univ. Politècnica de Catalunya,
conf/asplos/AbadalCAT16,3,Josep Torrellas,University of Illinois at Urbana-Champaign,
conf/asplos/AwadMHSH16,0,Amro Awad,North Carolina State University,
conf/asplos/AwadMHSH16,1,Pratyusa K. Manadhata,Hewlett Packard Labs,
conf/asplos/AwadMHSH16,2,Stuart Haber,Hewlett Packard Labs,
conf/asplos/AwadMHSH16,3,Yan Solihin,North Carolina State University,
conf/asplos/AwadMHSH16,4,William Horne,Hewlett Packard Labs,
conf/asplos/BornholtKLKTW16,0,James Bornholt,University of Washington,
conf/asplos/BornholtKLKTW16,1,Antoine Kaufmann,University of Washington,
conf/asplos/BornholtKLKTW16,2,Jialin Li,University of Washington,
conf/asplos/BornholtKLKTW16,3,Arvind Krishnamurthy,University of Washington,
conf/asplos/BornholtKLKTW16,4,Emina Torlak,University of Washington,
conf/asplos/BornholtKLKTW16,5,Xi Wang,University of Washington,
conf/asplos/FanZL16,0,Songchun Fan,Duke University,
conf/asplos/FanZL16,1,Seyed Majid Zahedi,Duke University,
conf/asplos/FanZL16,2,Benjamin C. Lee,Duke University,
conf/asplos/KimKBNW16,0,Wook-Hee Kim,Ulsan National Institute of Science and Technology,
conf/asplos/KimKBNW16,1,Jinwoong Kim,Ulsan National Institute of Science and Technology,
conf/asplos/KimKBNW16,2,Woongki Baek,Ulsan National Institute of Science and Technology,
conf/asplos/KimKBNW16,3,Beomseok Nam,Ulsan National Institute of Science and Technology,
conf/asplos/KimKBNW16,4,Youjip Won,Hanyang University,
conf/asplos/LinCLMHXS16,0,Xiaofeng Lin,Sina Corporation ZHIHU Corporation,
conf/asplos/LinCLMHXS16,1,Yu Chen,Tsinghua University,Department of Computer Science and Technology
conf/asplos/LinCLMHXS16,2,Xiaodong Li,Sina Corporation,
conf/asplos/LinCLMHXS16,3,Junjie Mao,Tsinghua University,Department of Computer Science and Technology
conf/asplos/LinCLMHXS16,4,Jiaquan He,Tsinghua University,Department of Computer Science and Technology
conf/asplos/LinCLMHXS16,5,Wei Xu,Tsinghua University,Department of Computer Science and Technology
conf/asplos/LinCLMHXS16,6,Yuanchun Shi,Tsinghua University,Department of Computer Science and Technology
conf/asplos/MaoCXS16,0,Junjie Mao,Tsinghua University,Department of Computer Science and Technology
conf/asplos/MaoCXS16,1,Yu Chen,Tsinghua University,Department of Computer Science and Technology
conf/asplos/MaoCXS16,2,Qixue Xiao,Tsinghua University,Department of Computer Science and Technology
